2024-08-12 04:38:00,928 INFO    MainThread:174295 [wandb_setup.py:_flush():76] Current SDK version is 0.17.6
2024-08-12 04:38:00,929 INFO    MainThread:174295 [wandb_setup.py:_flush():76] Configure stats pid to 174295
2024-08-12 04:38:00,929 INFO    MainThread:174295 [wandb_setup.py:_flush():76] Loading settings from /root/.config/wandb/settings
2024-08-12 04:38:00,929 INFO    MainThread:174295 [wandb_setup.py:_flush():76] Loading settings from /opt/mlops-movie-predictor/src/wandb/settings
2024-08-12 04:38:00,929 INFO    MainThread:174295 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'api_key': '***REDACTED***'}
2024-08-12 04:38:00,929 INFO    MainThread:174295 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program_abspath': '/opt/mlops-movie-predictor/src/main.py', 'program': '/opt/mlops-movie-predictor/src/main.py'}
2024-08-12 04:38:00,929 INFO    MainThread:174295 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2024-08-12 04:38:00,929 INFO    MainThread:174295 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2024-08-12 04:38:00,929 INFO    MainThread:174295 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-08-12 04:38:00,929 INFO    MainThread:174295 [wandb_init.py:_log_setup():521] Logging user logs to /opt/mlops-movie-predictor/src/wandb/run-20240812_043800-peach-haze-019/logs/debug.log
2024-08-12 04:38:00,929 INFO    MainThread:174295 [wandb_init.py:_log_setup():522] Logging internal logs to /opt/mlops-movie-predictor/src/wandb/run-20240812_043800-peach-haze-019/logs/debug-internal.log
2024-08-12 04:38:00,929 INFO    MainThread:174295 [wandb_init.py:init():559] calling init triggers
2024-08-12 04:38:00,929 INFO    MainThread:174295 [wandb_init.py:init():566] wandb.init called with sweep_config: {}
config: {'model_name': 'movie_predictor', 'optimizer': 'adam', 'num_epochs': 30, 'lr': 0.001, 'model_ext': 'pth', 'api_key': 'ab7faf2607ec6880e3da76705fc88da0948d8d38', 'project_name': 'movie-predictor', 'run_name': 'peach-haze-018', 'next_run_name': 'peach-haze-019'}
2024-08-12 04:38:00,930 INFO    MainThread:174295 [wandb_init.py:init():609] starting backend
2024-08-12 04:38:00,930 INFO    MainThread:174295 [wandb_init.py:init():613] setting up manager
2024-08-12 04:38:00,931 INFO    MainThread:174295 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-08-12 04:38:00,934 INFO    MainThread:174295 [wandb_init.py:init():621] backend started and connected
2024-08-12 04:38:00,940 INFO    MainThread:174295 [wandb_init.py:init():716] updated telemetry
2024-08-12 04:38:00,946 INFO    MainThread:174295 [wandb_init.py:init():749] communicating run to backend with 90.0 second timeout
2024-08-12 04:38:01,558 INFO    MainThread:174295 [wandb_run.py:_on_init():2438] communicating current version
2024-08-12 04:38:01,630 INFO    MainThread:174295 [wandb_run.py:_on_init():2447] got version response 
2024-08-12 04:38:01,631 INFO    MainThread:174295 [wandb_init.py:init():800] starting run threads in backend
2024-08-12 04:38:01,826 INFO    MainThread:174295 [wandb_run.py:_console_start():2416] atexit reg
2024-08-12 04:38:01,826 INFO    MainThread:174295 [wandb_run.py:_redirect():2258] redirect: wrap_raw
2024-08-12 04:38:01,827 INFO    MainThread:174295 [wandb_run.py:_redirect():2323] Wrapping output streams.
2024-08-12 04:38:01,827 INFO    MainThread:174295 [wandb_run.py:_redirect():2348] Redirects installed.
2024-08-12 04:38:01,831 INFO    MainThread:174295 [wandb_init.py:init():843] run started, returning control to user process
2024-08-12 04:38:09,050 WARNING MsgRouterThr:174295 [router.py:message_loop():77] message_loop has been closed
